USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  19356  1540 ?        Ss   Jul02   0:01 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Jul02   0:04 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Jul02   0:01 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Jul02   0:14 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Jul02   0:01 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Jul02   0:02 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Jul02   0:01 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Jul02   0:02 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Jul02   0:00 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Jul02   0:01 [migration/4]
root        20  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    Jul02   0:00 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    Jul02   0:04 [migration/5]
root        24  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    Jul02   0:00 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    Jul02   0:01 [migration/6]
root        28  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/6]
root        29  0.0  0.0      0     0 ?        S    Jul02   0:00 [ksoftirqd/6]
root        30  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/6]
root        31  0.0  0.0      0     0 ?        S    Jul02   0:01 [migration/7]
root        32  0.0  0.0      0     0 ?        S    Jul02   0:00 [migration/7]
root        33  0.0  0.0      0     0 ?        S    Jul02   0:00 [ksoftirqd/7]
root        34  0.0  0.0      0     0 ?        S    Jul02   0:00 [watchdog/7]
root        35  0.0  0.0      0     0 ?        S    Jul02   0:05 [events/0]
root        36  0.0  0.0      0     0 ?        S    Jul02   0:02 [events/1]
root        37  0.0  0.0      0     0 ?        S    Jul02   0:02 [events/2]
root        38  0.0  0.0      0     0 ?        S    Jul02   0:02 [events/3]
root        39  0.0  0.0      0     0 ?        S    Jul02   0:02 [events/4]
root        40  0.0  0.0      0     0 ?        S    Jul02   0:02 [events/5]
root        41  0.0  0.0      0     0 ?        S    Jul02   0:03 [events/6]
root        42  0.0  0.0      0     0 ?        S    Jul02   0:05 [events/7]
root        43  0.0  0.0      0     0 ?        S    Jul02   0:00 [cgroup]
root        44  0.0  0.0      0     0 ?        S    Jul02   0:00 [khelper]
root        45  0.0  0.0      0     0 ?        S    Jul02   0:00 [netns]
root        46  0.0  0.0      0     0 ?        S    Jul02   0:00 [async/mgr]
root        47  0.0  0.0      0     0 ?        S    Jul02   0:00 [pm]
root        48  0.0  0.0      0     0 ?        S    Jul02   0:00 [sync_supers]
root        49  0.0  0.0      0     0 ?        S    Jul02   0:00 [bdi-default]
root        50  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/0]
root        51  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/1]
root        52  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/2]
root        53  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/3]
root        54  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/4]
root        55  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/5]
root        56  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/6]
root        57  0.0  0.0      0     0 ?        S    Jul02   0:00 [kintegrityd/7]
root        58  0.0  0.0      0     0 ?        S    Jul02   0:14 [kblockd/0]
root        59  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/1]
root        60  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/2]
root        61  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/3]
root        62  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/4]
root        63  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/5]
root        64  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/6]
root        65  0.0  0.0      0     0 ?        S    Jul02   0:00 [kblockd/7]
root        66  0.0  0.0      0     0 ?        S    Jul02   0:00 [kacpid]
root        67  0.0  0.0      0     0 ?        S    Jul02   0:00 [kacpi_notify]
root        68  0.0  0.0      0     0 ?        S    Jul02   0:00 [kacpi_hotplug]
root        69  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/0]
root        70  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/1]
root        71  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/2]
root        72  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/3]
root        73  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/4]
root        74  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/5]
root        75  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/6]
root        76  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata/7]
root        77  0.0  0.0      0     0 ?        S    Jul02   0:00 [ata_aux]
root        78  0.0  0.0      0     0 ?        S    Jul02   0:00 [ksuspend_usbd]
root        79  0.0  0.0      0     0 ?        S    Jul02   0:00 [khubd]
root        80  0.0  0.0      0     0 ?        S    Jul02   0:00 [kseriod]
root        81  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/0]
root        82  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/1]
root        83  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/2]
root        84  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/3]
root        85  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/4]
root        86  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/5]
root        87  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/6]
root        88  0.0  0.0      0     0 ?        S    Jul02   0:00 [md/7]
root        89  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/0]
root        90  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/1]
root        91  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/2]
root        92  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/3]
root        93  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/4]
root        94  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/5]
root        95  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/6]
root        96  0.0  0.0      0     0 ?        S    Jul02   0:00 [md_misc/7]
root        97  0.0  0.0      0     0 ?        S    Jul02   0:00 [khungtaskd]
root        98  0.0  0.0      0     0 ?        S    Jul02   0:00 [kswapd0]
root        99  0.0  0.0      0     0 ?        SN   Jul02   0:00 [ksmd]
root       100  0.0  0.0      0     0 ?        SN   Jul02   0:52 [khugepaged]
root       101  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/0]
root       102  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/1]
root       103  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/2]
root       104  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/3]
root       105  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/4]
root       106  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/5]
root       107  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/6]
root       108  0.0  0.0      0     0 ?        S    Jul02   0:00 [aio/7]
root       109  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/0]
root       110  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/1]
root       111  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/2]
root       112  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/3]
root       113  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/4]
root       114  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/5]
root       115  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/6]
root       116  0.0  0.0      0     0 ?        S    Jul02   0:00 [crypto/7]
root       121  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthrotld/0]
root       122  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthrotld/1]
root       123  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthrotld/2]
root       124  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthrotld/3]
root       125  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthrotld/4]
root       126  0.0  0.0      0     0 ?        S    Jul02   0:00 [kthrotld/5]
